id,D,C,I,K,P,_SolventAccessibilityC3,_ChargeC3,_PolarityC2,_NormalizedVDWVC1,_NormalizedVDWVC2,_HydrophobicityC2,_SolventAccessibilityT12,_ChargeT23,_PolarityT13,_NormalizedVDWVT23,_HydrophobicityT13,PAAC4,PAAC5,PAAC10,PAAC15,label
Negative_193,3.387,2.272,2.988,3.64,6.733,0.262,0.105,0.313,0.37,0.415,0.369,0.252,0.157,0.238,0.181,0.192,1.783,1.196,1.573,3.545,0
Negative_66,4.444,1.481,0.741,6.667,9.259,0.3,0.156,0.4,0.459,0.278,0.456,0.212,0.216,0.156,0.167,0.115,2.239,0.746,0.373,4.664,0
Negative_93,4.375,4.062,2.5,2.5,3.75,0.244,0.078,0.278,0.362,0.366,0.353,0.185,0.097,0.219,0.172,0.157,2.283,2.119,1.304,1.957,0
Negative_28,4.247,3.475,1.931,1.544,7.336,0.232,0.116,0.378,0.456,0.402,0.398,0.326,0.202,0.24,0.14,0.229,2.193,1.795,0.997,3.789,0
Negative_45,2.088,1.624,4.872,7.193,8.237,0.309,0.068,0.418,0.455,0.398,0.432,0.214,0.094,0.181,0.132,0.174,1.221,0.95,2.849,4.816,0
Positive_93,5.754,1.587,4.167,4.365,4.762,0.234,0.113,0.335,0.409,0.339,0.393,0.31,0.173,0.239,0.159,0.213,2.805,0.774,2.031,2.321,1
Positive_4,4.968,1.404,7.019,6.048,5.184,0.269,0.117,0.322,0.386,0.376,0.393,0.249,0.183,0.218,0.165,0.177,2.567,0.726,3.627,2.679,1
Negative_83,3.974,3.974,3.311,2.98,7.616,0.225,0.132,0.334,0.414,0.348,0.368,0.266,0.199,0.213,0.153,0.193,1.884,1.884,1.57,3.611,0
Negative_160,5.479,2.74,2.74,6.849,4.11,0.26,0.192,0.342,0.425,0.356,0.37,0.278,0.278,0.236,0.139,0.208,2.767,1.384,1.384,2.076,0
Negative_37,2.242,4.484,0.448,6.278,9.417,0.283,0.085,0.399,0.466,0.291,0.435,0.275,0.131,0.185,0.126,0.153,1.165,2.329,0.233,4.892,0
Negative_188,1.523,2.538,5.584,8.629,5.584,0.264,0.071,0.36,0.401,0.381,0.381,0.23,0.107,0.163,0.133,0.153,0.835,1.391,3.06,3.06,0
Positive_22,1.02,3.061,7.143,0.0,2.041,0.327,0.031,0.286,0.327,0.459,0.357,0.144,0.062,0.165,0.186,0.124,0.666,1.999,4.665,1.333,1
Negative_86,2.292,3.125,3.75,1.667,6.042,0.277,0.05,0.379,0.433,0.34,0.45,0.142,0.079,0.132,0.138,0.092,1.265,1.725,2.07,3.335,0
Positive_171,6.715,0.723,3.616,4.029,6.095,0.301,0.118,0.334,0.408,0.34,0.408,0.252,0.162,0.216,0.159,0.175,3.487,0.375,1.878,3.165,1
Negative_207,4.231,0.385,8.846,6.923,3.846,0.238,0.115,0.281,0.327,0.392,0.342,0.27,0.174,0.251,0.239,0.212,1.972,0.179,4.122,1.792,0
Positive_174,5.693,1.733,4.455,7.921,6.436,0.28,0.124,0.317,0.391,0.351,0.364,0.251,0.189,0.223,0.179,0.203,2.89,0.88,2.262,3.268,1
Positive_161,6.25,0.347,6.597,9.375,4.514,0.219,0.163,0.26,0.326,0.41,0.312,0.3,0.213,0.3,0.22,0.244,3.053,0.169,3.222,2.205,1
Positive_42,8.278,1.325,4.305,5.629,4.305,0.268,0.156,0.298,0.394,0.315,0.377,0.302,0.223,0.282,0.153,0.219,4.002,0.641,2.081,2.081,1
Negative_143,6.906,1.105,1.657,4.972,6.906,0.204,0.174,0.401,0.481,0.329,0.417,0.31,0.227,0.175,0.108,0.163,3.434,0.549,0.824,3.434,0
Negative_2,5.137,10.274,4.11,6.507,6.849,0.243,0.116,0.284,0.438,0.325,0.329,0.265,0.158,0.265,0.144,0.223,2.764,5.529,2.212,3.686,0
Negative_117,6.122,0.51,4.082,2.041,11.224,0.276,0.158,0.357,0.423,0.398,0.393,0.241,0.221,0.231,0.174,0.205,3.174,0.264,2.116,5.819,0
Negative_24,4.762,5.159,1.587,3.175,3.175,0.234,0.099,0.31,0.409,0.341,0.357,0.215,0.127,0.163,0.199,0.135,2.334,2.528,0.778,1.556,0
Negative_71,3.264,3.858,3.264,3.264,3.264,0.252,0.053,0.318,0.389,0.353,0.374,0.176,0.071,0.185,0.179,0.146,1.7,2.009,1.7,1.7,0
Negative_32,3.681,1.227,4.908,6.135,4.294,0.288,0.129,0.374,0.423,0.301,0.417,0.296,0.148,0.21,0.228,0.185,1.784,0.595,2.378,2.081,0
Positive_107,5.718,1.779,7.751,8.259,3.939,0.22,0.13,0.292,0.367,0.388,0.346,0.312,0.195,0.249,0.182,0.21,2.902,0.903,3.934,1.999,1
Negative_22,3.39,4.237,4.237,5.085,9.322,0.314,0.102,0.356,0.432,0.305,0.458,0.154,0.128,0.128,0.111,0.085,1.746,2.183,2.183,4.802,0
Negative_130,1.093,3.825,2.186,9.836,18.579,0.361,0.066,0.421,0.47,0.213,0.448,0.126,0.066,0.104,0.176,0.071,0.551,1.929,1.102,9.367,0
Negative_174,4.094,2.632,0.877,3.216,18.713,0.345,0.091,0.477,0.544,0.266,0.52,0.194,0.141,0.132,0.12,0.109,2.253,1.448,0.483,10.296,0
Negative_221,4.874,2.166,2.527,3.069,11.191,0.332,0.121,0.412,0.482,0.343,0.442,0.201,0.193,0.17,0.121,0.152,2.659,1.182,1.379,6.105,0
Negative_182,6.205,0.716,1.671,5.489,9.547,0.286,0.153,0.387,0.456,0.337,0.411,0.292,0.222,0.199,0.122,0.187,3.09,0.357,0.832,4.755,0
Positive_116,7.39,0.943,5.189,2.673,4.717,0.244,0.115,0.297,0.381,0.362,0.371,0.255,0.176,0.239,0.213,0.2,3.707,0.473,2.603,2.366,1
Positive_64,4.553,1.138,6.179,3.577,7.48,0.218,0.115,0.335,0.392,0.413,0.38,0.316,0.171,0.238,0.181,0.212,2.3,0.575,3.121,3.778,1
Positive_149,4.975,1.741,6.219,6.716,4.478,0.276,0.112,0.331,0.398,0.336,0.408,0.242,0.18,0.232,0.17,0.17,2.559,0.896,3.199,2.303,1
Positive_80,6.818,0.455,5.909,8.636,5.455,0.227,0.15,0.259,0.332,0.386,0.309,0.274,0.192,0.256,0.288,0.215,3.297,0.22,2.858,2.638,1
Positive_66,4.783,2.826,3.913,5.217,7.826,0.257,0.124,0.354,0.43,0.341,0.385,0.272,0.187,0.231,0.131,0.207,2.446,1.445,2.001,4.002,1
Negative_103,4.441,2.826,2.826,1.884,6.595,0.245,0.114,0.32,0.393,0.355,0.377,0.253,0.155,0.222,0.156,0.182,2.157,1.373,1.373,3.204,0
Positive_142,3.268,0.654,5.556,9.477,2.941,0.183,0.147,0.268,0.307,0.379,0.304,0.328,0.193,0.292,0.233,0.262,1.487,0.298,2.528,1.338,1
Positive_97,5.785,1.653,1.653,8.678,2.479,0.182,0.14,0.281,0.355,0.368,0.322,0.336,0.199,0.266,0.187,0.241,2.74,0.783,0.783,1.174,1
Positive_190,9.901,1.98,5.941,11.881,2.97,0.277,0.158,0.287,0.406,0.277,0.347,0.18,0.18,0.2,0.18,0.15,5.056,1.011,3.034,1.517,1
Positive_3,4.211,2.737,5.895,3.789,4.421,0.255,0.059,0.297,0.366,0.328,0.394,0.236,0.099,0.194,0.175,0.154,2.156,1.401,3.018,2.263,1
Negative_21,2.878,4.317,3.597,7.914,7.914,0.302,0.094,0.367,0.439,0.309,0.396,0.225,0.145,0.159,0.152,0.152,1.452,2.178,1.815,3.992,0
Negative_99,1.908,3.817,7.634,5.725,5.344,0.328,0.065,0.271,0.328,0.397,0.34,0.195,0.096,0.241,0.241,0.211,1.066,2.132,4.265,2.985,0
Negative_50,0.87,2.609,7.826,3.478,8.696,0.243,0.165,0.374,0.409,0.435,0.409,0.325,0.281,0.263,0.149,0.237,0.447,1.341,4.024,4.471,0
Negative_6,5.442,0.907,4.989,6.122,5.669,0.254,0.107,0.32,0.383,0.351,0.379,0.273,0.177,0.239,0.195,0.202,2.702,0.45,2.477,2.815,0
Negative_215,3.328,0.832,2.496,5.324,12.812,0.366,0.108,0.484,0.526,0.301,0.511,0.183,0.153,0.11,0.107,0.092,1.828,0.457,1.371,7.038,0
Positive_145,6.87,1.272,3.817,4.835,3.817,0.224,0.112,0.321,0.402,0.359,0.372,0.316,0.173,0.235,0.168,0.204,3.402,0.63,1.89,1.89,1
Negative_41,3.901,1.064,3.546,1.064,17.376,0.348,0.078,0.486,0.535,0.273,0.518,0.16,0.117,0.093,0.096,0.078,2.069,0.564,1.881,9.218,0
Negative_220,4.688,1.562,4.167,4.948,10.677,0.32,0.156,0.37,0.432,0.393,0.406,0.269,0.235,0.23,0.12,0.211,2.64,0.88,2.347,6.013,0
Negative_7,6.0,5.333,5.333,6.333,5.0,0.243,0.117,0.267,0.38,0.37,0.307,0.271,0.161,0.278,0.171,0.237,3.005,2.671,2.671,2.504,0
Negative_60,4.787,3.234,4.269,5.692,5.821,0.272,0.115,0.308,0.388,0.396,0.356,0.268,0.185,0.263,0.162,0.224,2.527,1.707,2.253,3.072,0
Negative_35,3.39,1.695,5.811,2.179,10.896,0.303,0.09,0.448,0.499,0.291,0.499,0.189,0.126,0.143,0.148,0.112,1.815,0.907,3.111,5.833,0
Positive_53,4.831,2.899,3.382,7.729,5.314,0.271,0.077,0.391,0.469,0.285,0.43,0.301,0.136,0.189,0.146,0.165,2.466,1.48,1.726,2.713,1
Negative_80,6.452,2.384,2.805,4.208,8.275,0.297,0.163,0.363,0.452,0.355,0.405,0.263,0.237,0.221,0.14,0.194,3.391,1.253,1.474,4.349,0
Positive_65,7.348,0.319,5.272,2.875,7.188,0.265,0.117,0.399,0.476,0.35,0.439,0.274,0.197,0.187,0.136,0.157,3.861,0.168,2.77,3.777,1
Positive_91,7.591,4.95,3.96,6.601,5.941,0.218,0.188,0.244,0.37,0.393,0.307,0.278,0.272,0.278,0.192,0.228,3.988,2.601,2.081,3.121,1
Positive_191,5.946,1.081,5.405,6.486,4.054,0.208,0.124,0.311,0.381,0.381,0.349,0.314,0.179,0.244,0.192,0.222,2.882,0.524,2.619,1.965,1
Positive_164,9.288,0.929,7.43,8.05,1.858,0.232,0.161,0.294,0.396,0.347,0.353,0.298,0.211,0.248,0.193,0.202,4.479,0.448,3.583,0.896,1
Positive_68,3.846,2.198,5.495,7.143,5.22,0.239,0.104,0.365,0.426,0.36,0.426,0.253,0.146,0.174,0.14,0.138,1.99,1.137,2.843,2.701,1
Negative_102,4.304,3.038,4.304,8.861,8.608,0.276,0.114,0.367,0.441,0.344,0.403,0.244,0.173,0.16,0.129,0.142,2.251,1.589,2.251,4.502,0
Negative_8,7.362,1.104,3.313,6.503,4.663,0.277,0.153,0.337,0.422,0.314,0.404,0.227,0.198,0.208,0.163,0.154,3.763,0.564,1.693,2.383,0
Positive_16,5.195,1.299,3.896,9.091,4.545,0.247,0.11,0.279,0.344,0.286,0.331,0.294,0.157,0.288,0.242,0.248,2.386,0.597,1.789,2.087,1
Positive_215,6.654,2.153,5.479,4.501,4.501,0.235,0.104,0.305,0.393,0.329,0.368,0.302,0.167,0.267,0.19,0.22,3.24,1.048,2.668,2.192,1
Positive_113,5.067,1.333,4.533,8.8,4.533,0.211,0.152,0.267,0.331,0.387,0.339,0.332,0.209,0.289,0.211,0.241,2.489,0.655,2.227,2.227,1
Negative_81,2.042,0.53,5.976,6.051,9.002,0.385,0.071,0.44,0.466,0.382,0.469,0.179,0.104,0.146,0.12,0.133,1.218,0.316,3.565,5.37,0
Negative_23,6.579,2.105,5.0,2.105,5.0,0.313,0.118,0.35,0.437,0.353,0.418,0.248,0.198,0.206,0.156,0.161,3.496,1.118,2.657,2.657,0
Positive_157,3.59,2.051,2.564,6.154,9.744,0.246,0.108,0.359,0.415,0.318,0.395,0.306,0.162,0.216,0.136,0.19,1.706,0.975,1.219,4.631,1
Positive_123,4.058,6.667,4.638,8.696,9.275,0.31,0.099,0.359,0.467,0.272,0.417,0.247,0.14,0.203,0.148,0.169,2.145,3.524,2.451,4.902,1
Positive_40,4.762,1.587,5.291,8.466,4.762,0.196,0.127,0.36,0.423,0.381,0.392,0.255,0.17,0.176,0.117,0.165,2.465,0.821,2.738,2.465,1
Positive_115,7.933,0.418,2.296,1.67,6.889,0.263,0.125,0.407,0.491,0.271,0.484,0.278,0.209,0.199,0.14,0.157,3.808,0.201,1.102,3.307,1
Positive_139,5.525,2.21,11.05,7.182,4.42,0.221,0.099,0.188,0.265,0.503,0.249,0.317,0.161,0.356,0.261,0.311,3.051,1.221,6.103,2.441,1
Positive_216,4.292,0.858,3.648,5.579,4.721,0.277,0.094,0.337,0.388,0.358,0.408,0.234,0.146,0.2,0.168,0.163,2.205,0.441,1.874,2.425,1
Positive_27,6.897,2.299,5.747,8.046,8.046,0.241,0.08,0.299,0.391,0.287,0.356,0.174,0.128,0.221,0.186,0.163,3.295,1.098,2.746,3.844,1
Negative_225,4.95,0.99,0.99,2.97,9.901,0.238,0.149,0.356,0.416,0.347,0.406,0.19,0.17,0.12,0.12,0.11,2.44,0.488,0.488,4.881,0
Positive_73,5.944,2.448,5.175,5.594,4.545,0.246,0.12,0.291,0.375,0.39,0.351,0.281,0.176,0.265,0.177,0.219,3.051,1.256,2.656,2.333,1
Negative_76,2.602,2.23,6.32,8.178,7.435,0.323,0.078,0.454,0.502,0.249,0.52,0.187,0.116,0.157,0.146,0.104,1.378,1.181,3.346,3.936,0
Positive_41,6.905,0.512,5.371,5.882,6.138,0.297,0.125,0.271,0.345,0.345,0.371,0.267,0.213,0.308,0.205,0.221,3.439,0.255,2.675,3.057,1
Negative_116,1.527,2.29,0.763,2.545,12.977,0.318,0.061,0.481,0.519,0.267,0.506,0.186,0.099,0.105,0.094,0.094,0.78,1.17,0.39,6.628,0
Negative_186,2.301,0.92,1.38,2.914,19.632,0.374,0.066,0.578,0.61,0.222,0.604,0.183,0.112,0.098,0.083,0.086,1.27,0.508,0.762,10.837,0
Positive_85,4.285,1.382,7.049,8.708,5.46,0.227,0.117,0.301,0.358,0.393,0.347,0.305,0.17,0.258,0.202,0.227,2.139,0.69,3.519,2.726,1
Negative_16,5.351,2.007,1.171,1.672,5.351,0.199,0.162,0.363,0.436,0.365,0.398,0.343,0.229,0.228,0.139,0.206,2.591,0.972,0.567,2.591,0
Negative_180,4.372,0.564,3.949,1.834,10.719,0.464,0.109,0.592,0.642,0.233,0.622,0.144,0.194,0.075,0.052,0.068,2.615,0.337,2.362,6.41,0
Negative_109,5.55,2.422,2.825,5.752,8.577,0.284,0.111,0.35,0.43,0.329,0.411,0.247,0.159,0.207,0.177,0.167,2.881,1.257,1.466,4.452,0
Positive_2,2.778,0.926,0.0,8.333,10.185,0.352,0.083,0.407,0.444,0.296,0.463,0.262,0.15,0.178,0.103,0.159,1.52,0.507,0.0,5.572,1
Negative_51,3.333,3.333,1.905,1.429,12.381,0.381,0.1,0.49,0.557,0.29,0.538,0.158,0.163,0.115,0.077,0.081,1.876,1.876,1.072,6.968,0
Negative_189,3.89,0.915,0.915,1.144,7.78,0.213,0.096,0.378,0.426,0.325,0.421,0.294,0.154,0.211,0.135,0.17,1.783,0.419,0.419,3.566,0
Negative_142,2.948,1.966,4.177,2.58,9.459,0.283,0.09,0.423,0.472,0.356,0.463,0.246,0.144,0.175,0.135,0.143,1.554,1.036,2.201,4.985,0
Negative_100,4.762,1.905,1.905,5.238,6.19,0.29,0.124,0.367,0.433,0.314,0.443,0.23,0.177,0.201,0.124,0.144,2.327,0.931,0.931,3.024,0
Negative_179,2.069,3.448,3.448,0.69,6.207,0.366,0.069,0.455,0.51,0.31,0.51,0.188,0.104,0.132,0.139,0.118,1.119,1.865,1.865,3.357,0
Negative_110,3.846,2.35,1.923,3.205,10.043,0.34,0.081,0.483,0.545,0.265,0.515,0.227,0.137,0.191,0.111,0.165,2.075,1.268,1.038,5.42,0
Positive_148,6.301,1.644,6.301,5.616,5.342,0.256,0.136,0.332,0.411,0.327,0.407,0.28,0.221,0.244,0.167,0.192,3.073,0.802,3.073,2.605,1
Negative_68,1.734,3.468,1.734,2.312,7.514,0.249,0.029,0.358,0.41,0.341,0.439,0.169,0.052,0.163,0.192,0.122,0.925,1.85,0.925,4.008,0
Negative_153,5.085,2.034,2.712,4.237,13.559,0.308,0.129,0.436,0.507,0.286,0.463,0.256,0.183,0.156,0.132,0.144,2.58,1.032,1.376,6.88,0
Negative_114,4.317,1.439,2.878,10.072,7.914,0.338,0.137,0.388,0.446,0.288,0.453,0.152,0.159,0.116,0.181,0.087,2.263,0.754,1.509,4.148,0
Negative_115,4.67,3.022,2.747,10.44,7.418,0.321,0.159,0.374,0.451,0.297,0.42,0.24,0.171,0.198,0.14,0.163,2.49,1.611,1.465,3.955,0
Positive_204,4.605,1.702,6.707,4.404,7.007,0.292,0.11,0.342,0.405,0.381,0.396,0.237,0.167,0.206,0.16,0.18,2.433,0.899,3.543,3.701,1
Positive_67,8.456,0.0,4.412,8.824,3.309,0.213,0.169,0.312,0.397,0.357,0.357,0.299,0.225,0.232,0.192,0.196,4.186,0.0,2.184,1.638,1
Negative_128,4.377,1.785,4.207,4.972,7.31,0.314,0.11,0.365,0.427,0.362,0.411,0.233,0.169,0.195,0.153,0.168,2.319,0.946,2.229,3.874,0
Positive_37,5.051,2.189,5.556,7.071,3.872,0.246,0.116,0.303,0.375,0.355,0.359,0.283,0.182,0.25,0.189,0.216,2.548,1.104,2.803,1.953,1
Positive_179,7.692,0.308,4.308,5.231,3.077,0.258,0.157,0.289,0.369,0.366,0.357,0.269,0.204,0.235,0.191,0.194,3.786,0.152,2.12,1.514,1
Negative_46,2.326,0.581,6.977,4.07,5.233,0.326,0.099,0.337,0.366,0.407,0.395,0.222,0.181,0.205,0.175,0.187,1.188,0.297,3.563,2.672,0
Negative_47,5.289,6.446,1.488,6.777,10.579,0.253,0.111,0.385,0.502,0.253,0.412,0.222,0.146,0.172,0.121,0.164,2.641,3.218,0.743,5.282,0
Negative_158,0.0,1.266,3.797,1.266,39.241,0.494,0.013,0.646,0.658,0.165,0.684,0.064,0.026,0.026,0.077,0.026,0.0,0.736,2.207,22.806,0
Positive_189,4.362,2.696,4.837,4.203,3.807,0.229,0.103,0.32,0.391,0.372,0.374,0.245,0.147,0.217,0.177,0.183,2.297,1.42,2.548,2.005,1
Negative_84,4.409,1.804,2.004,7.214,6.413,0.242,0.112,0.299,0.361,0.367,0.349,0.321,0.163,0.273,0.207,0.241,2.13,0.872,0.968,3.098,0
Positive_151,4.054,0.45,3.153,2.252,6.757,0.257,0.113,0.351,0.396,0.369,0.396,0.317,0.176,0.208,0.186,0.176,1.945,0.216,1.512,3.241,1
Positive_154,5.609,2.244,3.365,6.25,5.288,0.234,0.133,0.282,0.361,0.364,0.349,0.276,0.199,0.254,0.213,0.205,2.776,1.111,1.666,2.617,1
Negative_42,5.477,3.043,2.028,4.462,5.68,0.286,0.099,0.298,0.383,0.398,0.363,0.27,0.152,0.24,0.203,0.205,2.969,1.649,1.099,3.079,0
Negative_204,1.121,13.004,0.897,0.448,13.004,0.388,0.047,0.419,0.561,0.202,0.516,0.196,0.092,0.202,0.094,0.137,0.625,7.255,0.5,7.255,0
Positive_126,5.036,1.439,3.597,10.072,2.158,0.209,0.072,0.388,0.453,0.317,0.424,0.246,0.123,0.13,0.145,0.116,2.697,0.771,1.926,1.156,1
Negative_213,3.191,2.128,2.128,8.511,9.043,0.367,0.074,0.457,0.511,0.223,0.521,0.214,0.107,0.166,0.086,0.128,1.698,1.132,1.132,4.812,0
Negative_4,3.259,3.556,2.37,5.63,7.704,0.286,0.09,0.394,0.462,0.298,0.447,0.245,0.147,0.178,0.144,0.153,1.639,1.789,1.192,3.875,0
Positive_29,4.967,1.821,5.96,5.464,5.795,0.243,0.104,0.32,0.387,0.363,0.386,0.24,0.139,0.209,0.182,0.164,2.512,0.921,3.014,2.93,1
Negative_144,4.418,3.079,3.213,5.489,3.748,0.3,0.086,0.351,0.426,0.336,0.404,0.235,0.126,0.205,0.172,0.173,2.265,1.579,1.648,1.922,0
Positive_14,2.609,0.87,7.826,2.609,6.957,0.278,0.07,0.278,0.313,0.452,0.304,0.184,0.123,0.202,0.184,0.184,1.555,0.519,4.665,4.147,1
Positive_34,6.395,4.651,2.907,9.302,8.14,0.238,0.157,0.262,0.372,0.32,0.326,0.339,0.222,0.31,0.14,0.275,3.102,2.256,1.41,3.949,1
Positive_185,5.581,2.791,3.256,5.581,6.047,0.256,0.13,0.274,0.358,0.386,0.321,0.271,0.154,0.252,0.206,0.22,2.935,1.468,1.712,3.18,1
Negative_0,1.153,0.0,6.628,2.594,5.764,0.251,0.058,0.383,0.395,0.473,0.412,0.324,0.078,0.188,0.107,0.168,0.683,0.0,3.927,3.415,0
Negative_140,3.226,0.645,4.194,1.613,10.323,0.461,0.094,0.532,0.571,0.306,0.581,0.11,0.142,0.107,0.104,0.084,2.033,0.406,2.643,6.505,0
Negative_154,2.907,2.326,2.907,4.07,9.884,0.372,0.07,0.384,0.436,0.337,0.471,0.164,0.111,0.158,0.146,0.123,1.652,1.322,1.652,5.617,0
Negative_150,5.734,2.064,4.014,3.899,11.124,0.339,0.109,0.359,0.437,0.366,0.401,0.231,0.165,0.217,0.168,0.189,3.145,1.132,2.201,6.101,0
Positive_79,6.028,0.309,4.173,1.236,7.419,0.3,0.094,0.457,0.521,0.292,0.507,0.249,0.161,0.155,0.091,0.125,3.071,0.157,2.126,3.78,1
Negative_205,4.207,4.045,1.942,6.472,12.945,0.317,0.108,0.409,0.492,0.236,0.476,0.25,0.16,0.147,0.146,0.125,2.096,2.015,0.967,6.449,0
Positive_169,3.846,0.549,5.495,2.198,7.143,0.28,0.093,0.473,0.516,0.33,0.505,0.166,0.144,0.127,0.072,0.11,2.1,0.3,3.0,3.899,1
Negative_61,4.4,3.6,4.4,7.6,4.4,0.32,0.12,0.312,0.392,0.328,0.384,0.253,0.185,0.253,0.189,0.209,2.338,1.913,2.338,2.338,0
Positive_32,1.724,0.575,6.897,1.149,2.299,0.224,0.075,0.316,0.339,0.437,0.379,0.133,0.116,0.121,0.197,0.087,0.943,0.314,3.772,1.257,1
Negative_79,2.609,0.87,3.768,4.058,13.237,0.425,0.058,0.512,0.547,0.257,0.544,0.147,0.096,0.108,0.088,0.094,1.487,0.496,2.147,7.542,0
Negative_123,4.314,3.54,1.659,4.867,10.509,0.291,0.114,0.413,0.491,0.277,0.467,0.225,0.14,0.161,0.11,0.13,2.238,1.836,0.861,5.451,0
Positive_172,6.019,1.157,4.861,6.944,3.935,0.243,0.157,0.262,0.333,0.377,0.326,0.274,0.213,0.262,0.195,0.211,2.914,0.56,2.353,1.905,1
Negative_118,5.0,0.417,1.667,3.125,13.125,0.352,0.102,0.506,0.56,0.273,0.525,0.234,0.163,0.119,0.096,0.111,2.698,0.225,0.899,7.081,0
Negative_3,5.603,1.94,2.371,3.879,6.897,0.241,0.134,0.338,0.414,0.366,0.397,0.305,0.199,0.24,0.156,0.199,2.78,0.963,1.177,3.423,0
Positive_70,6.021,3.141,4.974,6.937,5.366,0.266,0.123,0.313,0.404,0.349,0.38,0.256,0.177,0.227,0.173,0.178,3.047,1.59,2.517,2.716,1
Positive_187,3.333,6.667,1.667,13.333,8.333,0.367,0.05,0.317,0.417,0.217,0.45,0.169,0.085,0.186,0.051,0.136,1.803,3.606,0.902,4.507,1
Negative_77,2.353,3.137,2.353,5.49,7.451,0.318,0.043,0.439,0.494,0.278,0.475,0.209,0.059,0.138,0.13,0.126,1.267,1.69,1.267,4.013,0
Negative_177,4.724,1.181,1.181,5.118,9.843,0.335,0.122,0.425,0.484,0.264,0.48,0.182,0.186,0.158,0.146,0.123,2.484,0.621,0.621,5.175,0
Positive_94,6.243,1.503,5.665,6.474,4.624,0.22,0.133,0.264,0.341,0.38,0.329,0.307,0.197,0.299,0.216,0.242,3.053,0.735,2.771,2.262,1
Positive_119,7.327,0.0,3.366,4.95,1.98,0.244,0.115,0.372,0.446,0.305,0.428,0.284,0.188,0.218,0.169,0.183,3.686,0.0,1.693,0.996,1
Negative_216,1.299,9.091,0.0,12.987,7.792,0.299,0.091,0.364,0.468,0.169,0.468,0.289,0.132,0.171,0.132,0.158,0.648,4.538,0.0,3.89,0
Positive_147,3.313,0.602,3.012,3.313,4.819,0.148,0.133,0.349,0.389,0.401,0.38,0.353,0.202,0.239,0.169,0.211,1.561,0.284,1.42,2.271,1
Positive_44,4.946,2.878,3.867,3.777,6.655,0.263,0.123,0.33,0.408,0.368,0.379,0.241,0.173,0.205,0.158,0.173,2.577,1.5,2.015,3.467,1
Negative_82,7.207,0.0,4.505,2.703,9.91,0.234,0.225,0.36,0.432,0.441,0.36,0.3,0.336,0.173,0.118,0.173,3.932,0.0,2.458,5.407,0
Positive_82,5.09,0.299,3.593,6.287,8.383,0.257,0.102,0.35,0.404,0.326,0.41,0.261,0.15,0.219,0.168,0.186,2.503,0.147,1.767,4.123,1
Negative_49,1.852,3.704,1.852,11.111,7.407,0.185,0.074,0.333,0.389,0.333,0.333,0.472,0.132,0.302,0.17,0.302,0.9,1.801,0.9,3.601,0
Positive_134,7.519,0.0,3.509,2.757,5.514,0.271,0.135,0.316,0.391,0.316,0.409,0.291,0.216,0.271,0.176,0.193,3.62,0.0,1.689,2.655,1
Negative_39,4.274,2.137,3.632,2.137,5.128,0.28,0.096,0.408,0.472,0.361,0.442,0.263,0.141,0.182,0.109,0.167,2.284,1.142,1.941,2.741,0
Positive_178,4.455,1.485,1.98,2.475,4.95,0.228,0.089,0.356,0.416,0.356,0.411,0.269,0.149,0.194,0.159,0.144,2.222,0.741,0.987,2.469,1
Negative_148,5.814,2.326,3.488,5.814,4.651,0.326,0.14,0.267,0.349,0.326,0.384,0.247,0.212,0.282,0.188,0.212,2.935,1.174,1.761,2.348,0
Negative_113,5.148,3.346,4.376,8.237,6.435,0.283,0.113,0.324,0.409,0.35,0.372,0.244,0.183,0.215,0.187,0.183,2.676,1.74,2.275,3.345,0
Negative_234,0.847,19.492,0.0,5.085,13.559,0.441,0.008,0.542,0.746,0.102,0.602,0.094,0.017,0.085,0.009,0.085,0.593,13.654,0.0,9.498,0
Positive_193,5.882,1.681,4.202,6.723,4.202,0.294,0.134,0.277,0.353,0.37,0.361,0.288,0.195,0.271,0.195,0.246,3.026,0.865,2.162,2.162,1
