id,N,D,C,I,K,F,P,S,APAAC3,APAAC4,APAAC5,APAAC6,_PolarizabilityC3,_SolventAccessibilityC2,_SolventAccessibilityC3,_SecondaryStrC3,_ChargeC2,_ChargeC3,_PolarityC2,_PolarityC3,_NormalizedVDWVC1,_NormalizedVDWVC2,_NormalizedVDWVC3,_HydrophobicityC1,_HydrophobicityC2,_SolventAccessibilityT12,_SolventAccessibilityT13,_SecondaryStrT12,_ChargeT13,_ChargeT23,_PolarityT13,_NormalizedVDWVT23,_HydrophobicityT13,_PolarizabilityD2001,_SolventAccessibilityD1001,_SecondaryStrD2001,_ChargeD2001,_ChargeD3001,_NormalizedVDWVD2001,DI,IA,ID,PS,PAAC4,PAAC5,PAAC10,PAAC12,PAAC15,PAAC16,PAAC22,label
Negative_529,4.795,1.37,3.425,4.795,4.795,4.11,5.479,7.534,3.127,0.893,2.233,3.127,0.199,0.226,0.253,0.26,0.856,0.062,0.336,0.253,0.384,0.418,0.199,0.226,0.37,0.234,0.29,0.241,0.034,0.076,0.234,0.172,0.2,2.055,2.74,13.699,0.685,30.822,2.74,0.0,0.69,0.0,0.69,0.785,1.962,2.746,2.746,3.138,4.315,4.954,0
Positive_386,4.499,4.908,2.454,7.362,5.93,2.863,6.544,11.861,3.436,3.748,1.874,7.027,0.2,0.299,0.315,0.325,0.775,0.141,0.317,0.323,0.391,0.409,0.2,0.299,0.378,0.217,0.246,0.23,0.033,0.201,0.223,0.197,0.176,0.613,0.409,1.022,0.204,3.681,0.613,0.41,0.2,0.41,0.61,2.692,1.346,4.038,3.252,3.589,6.505,4.242,1
Negative_389,2.75,5.25,2.25,4.25,3.75,3.5,6.75,7.5,2.327,4.442,1.904,4.442,0.215,0.268,0.263,0.29,0.792,0.105,0.383,0.292,0.458,0.328,0.215,0.268,0.427,0.251,0.293,0.236,0.033,0.143,0.203,0.135,0.173,1.0,0.5,2.5,0.25,1.0,1.0,0.0,0.5,0.0,0.5,2.695,1.155,2.182,1.925,3.466,3.851,4.896,0
Negative_458,3.189,3.565,2.251,6.567,4.128,5.816,3.94,8.443,1.69,1.889,1.193,1.392,0.231,0.189,0.263,0.296,0.865,0.062,0.37,0.214,0.428,0.341,0.231,0.189,0.43,0.179,0.321,0.209,0.015,0.105,0.147,0.165,0.117,0.75,0.375,1.501,0.188,3.189,0.75,0.0,0.38,0.19,0.38,1.947,1.229,3.586,2.254,2.152,4.611,4.448,0
Positive_533,4.523,7.538,1.508,7.035,6.03,4.02,5.025,2.513,6.541,10.901,2.181,8.72,0.281,0.337,0.246,0.231,0.754,0.136,0.246,0.362,0.337,0.382,0.281,0.337,0.317,0.303,0.207,0.293,0.015,0.237,0.298,0.222,0.242,1.005,3.015,2.01,0.503,8.04,1.508,0.51,0.51,0.0,0.0,3.697,0.74,3.451,2.958,2.465,1.233,4.836,1
Positive_1038,2.024,4.049,1.417,4.453,4.049,3.239,7.895,5.263,1.962,3.925,1.374,5.888,0.241,0.277,0.255,0.257,0.796,0.101,0.3,0.312,0.354,0.405,0.241,0.277,0.356,0.249,0.241,0.203,0.024,0.15,0.247,0.17,0.203,0.405,0.405,3.846,0.202,8.704,0.405,0.2,0.2,0.0,0.81,2.044,0.715,2.248,2.044,3.986,2.657,4.958,1
Negative_1087,1.754,4.386,4.386,1.462,4.678,3.216,9.064,9.064,1.101,2.754,2.754,4.04,0.202,0.284,0.275,0.292,0.792,0.108,0.36,0.301,0.447,0.351,0.202,0.284,0.395,0.267,0.217,0.249,0.023,0.182,0.199,0.144,0.185,1.17,0.585,1.17,0.292,8.772,1.17,0.0,0.0,0.0,1.17,2.35,2.35,0.783,2.506,4.856,4.856,4.457,0
Negative_690,0.797,5.578,3.984,2.988,4.98,3.984,7.769,13.347,0.614,4.294,3.067,5.828,0.213,0.295,0.313,0.329,0.757,0.131,0.394,0.309,0.49,0.297,0.213,0.295,0.412,0.232,0.226,0.208,0.032,0.2,0.188,0.116,0.17,0.797,0.398,0.996,0.199,1.195,1.195,0.2,0.2,0.2,0.8,2.894,2.067,1.55,2.584,4.031,6.926,4.751,0
Negative_1088,2.19,0.73,2.19,2.19,2.19,1.46,7.299,8.759,2.48,0.827,2.48,9.093,0.168,0.241,0.255,0.307,0.818,0.088,0.431,0.277,0.46,0.372,0.168,0.241,0.467,0.25,0.235,0.265,0.007,0.14,0.191,0.118,0.169,1.46,1.46,5.109,0.73,24.088,1.46,0.0,0.0,0.0,0.0,0.381,1.142,1.142,1.142,3.806,4.567,4.351,0
Negative_1134,2.415,1.932,2.415,2.415,5.797,2.415,7.729,5.797,2.244,1.796,2.244,5.836,0.203,0.237,0.232,0.309,0.826,0.082,0.415,0.271,0.459,0.338,0.203,0.237,0.464,0.248,0.228,0.214,0.015,0.141,0.204,0.155,0.175,2.415,2.415,2.415,0.483,0.966,2.899,0.0,0.0,0.0,0.0,1.041,1.301,1.301,3.124,4.165,3.124,5.108,0
Negative_957,2.983,3.632,3.761,2.594,1.427,4.021,7.782,9.339,2.68,3.263,3.379,2.914,0.213,0.21,0.314,0.294,0.86,0.069,0.379,0.228,0.453,0.335,0.213,0.21,0.435,0.191,0.323,0.243,0.013,0.114,0.177,0.134,0.149,1.427,0.259,0.778,0.13,1.427,1.427,0.0,0.39,0.0,0.91,1.947,2.016,1.39,0.765,4.171,5.005,4.454,0
Positive_488,3.545,4.851,1.493,4.104,4.291,5.037,6.903,8.209,3.945,5.399,1.662,4.361,0.252,0.25,0.3,0.304,0.825,0.088,0.358,0.284,0.422,0.326,0.252,0.25,0.427,0.222,0.267,0.2,0.013,0.14,0.198,0.166,0.159,0.373,0.56,0.56,0.187,0.373,0.373,0.37,0.37,0.0,0.37,2.514,0.774,2.127,2.224,3.578,4.255,4.893,1
Positive_156,1.786,7.143,0.0,7.143,3.571,3.571,3.571,1.786,3.499,13.992,0.0,27.984,0.25,0.375,0.214,0.161,0.714,0.214,0.214,0.393,0.286,0.464,0.25,0.375,0.286,0.382,0.127,0.491,0.0,0.364,0.382,0.218,0.327,3.571,10.714,7.143,1.786,3.571,3.571,0.0,0.0,0.0,0.0,3.516,0.0,3.516,1.758,1.758,0.879,5.626,1
Negative_330,1.429,0.0,7.143,10.0,8.571,7.143,2.857,1.429,0.783,0.0,3.916,3.916,0.314,0.271,0.157,0.114,0.771,0.071,0.271,0.314,0.343,0.343,0.314,0.271,0.314,0.304,0.159,0.319,0.0,0.145,0.246,0.203,0.217,2.857,4.286,10.0,1.429,54.286,10.0,0.0,0.0,0.0,0.0,0.0,3.571,5.0,4.285,1.428,0.714,4.502,0
Negative_1164,3.666,7.332,3.87,4.073,6.314,2.24,4.684,13.442,1.927,3.855,2.035,5.996,0.2,0.385,0.295,0.334,0.707,0.187,0.305,0.403,0.418,0.383,0.2,0.385,0.352,0.204,0.204,0.165,0.043,0.247,0.184,0.161,0.153,0.407,0.407,0.407,0.204,2.24,0.611,0.0,0.0,0.0,1.22,3.965,2.093,2.203,3.415,2.533,7.269,4.616,0
Negative_1301,2.015,2.93,2.381,1.648,3.114,2.015,6.593,7.875,1.535,2.232,1.813,4.603,0.214,0.302,0.258,0.269,0.802,0.09,0.374,0.324,0.427,0.359,0.214,0.302,0.416,0.246,0.246,0.226,0.009,0.141,0.2,0.114,0.171,0.549,0.733,0.366,0.183,6.227,0.733,0.0,0.55,0.0,0.92,1.49,1.211,0.838,1.584,3.354,4.006,5.214,0
Negative_1139,5.0,2.5,1.25,3.75,5.0,3.75,5.0,6.25,2.755,1.377,0.689,1.377,0.275,0.312,0.275,0.237,0.825,0.05,0.325,0.338,0.362,0.362,0.275,0.312,0.375,0.253,0.253,0.291,0.025,0.076,0.228,0.177,0.203,3.75,2.5,2.5,1.25,40.0,5.0,0.0,0.0,0.0,0.0,1.281,0.64,1.921,2.562,2.562,3.202,4.98,0
Negative_645,3.3,2.97,3.63,6.271,3.63,4.62,4.62,8.581,2.587,2.328,2.846,3.105,0.234,0.221,0.287,0.29,0.851,0.069,0.333,0.241,0.399,0.366,0.234,0.221,0.396,0.202,0.265,0.238,0.023,0.103,0.182,0.172,0.149,2.31,0.66,2.64,0.33,0.99,2.31,0.33,0.66,0.66,0.0,1.582,1.934,3.341,1.934,2.461,4.571,5.202,0
Negative_846,2.03,2.707,1.861,3.384,2.2,5.245,6.768,8.968,1.228,1.638,1.126,2.047,0.222,0.212,0.277,0.272,0.858,0.061,0.369,0.23,0.415,0.364,0.222,0.212,0.428,0.197,0.271,0.227,0.017,0.092,0.158,0.186,0.136,0.338,0.338,0.338,0.169,1.523,0.338,0.0,0.68,0.0,0.68,1.44,0.99,1.801,1.171,3.601,4.772,4.81,0
Positive_55,2.795,5.901,0.932,7.143,7.453,2.795,7.143,6.211,3.318,7.004,1.106,7.004,0.214,0.276,0.267,0.332,0.767,0.118,0.363,0.301,0.432,0.354,0.214,0.276,0.416,0.262,0.255,0.184,0.028,0.184,0.202,0.146,0.171,2.484,0.932,2.174,0.311,7.764,2.484,1.25,0.0,0.31,0.62,3.014,0.476,3.649,3.807,3.649,3.173,4.935,1
Negative_564,0.0,1.746,27.431,0.998,1.995,0.0,11.471,21.446,0.0,1.834,28.814,1.31,0.042,0.155,0.369,0.369,0.935,0.03,0.436,0.155,0.728,0.229,0.042,0.155,0.439,0.13,0.323,0.158,0.0,0.05,0.113,0.007,0.113,0.748,0.748,0.748,0.249,1.746,0.748,0.0,0.0,0.0,2.0,1.26,19.791,0.72,1.439,8.276,15.473,3.153,0
Positive_1011,3.676,6.618,0.735,4.779,7.353,4.044,7.721,11.029,3.815,6.869,0.763,6.487,0.25,0.305,0.324,0.353,0.765,0.129,0.342,0.346,0.415,0.335,0.25,0.305,0.408,0.229,0.255,0.207,0.037,0.199,0.214,0.203,0.17,1.103,0.735,1.471,0.368,2.574,1.103,0.0,0.0,0.0,0.74,3.474,0.386,2.508,3.859,4.052,5.789,4.771,1
Negative_135,3.341,4.418,2.478,4.526,3.341,3.664,8.19,11.207,3.435,4.543,2.548,5.429,0.211,0.26,0.342,0.348,0.818,0.097,0.391,0.29,0.46,0.329,0.211,0.26,0.442,0.203,0.276,0.204,0.016,0.154,0.18,0.143,0.154,0.216,0.431,0.754,0.108,0.323,0.216,0.11,0.22,0.22,0.86,2.369,1.329,2.427,1.791,4.391,6.009,4.785,0
Positive_682,3.62,6.637,2.112,3.469,5.882,5.128,6.637,6.938,3.736,6.849,2.18,6.226,0.259,0.315,0.252,0.314,0.759,0.127,0.294,0.338,0.382,0.359,0.259,0.315,0.347,0.289,0.249,0.216,0.027,0.202,0.251,0.189,0.224,0.452,0.302,0.905,0.151,3.62,0.905,0.6,0.0,0.3,0.3,3.313,1.054,1.732,2.936,3.313,3.463,5.064,1
Positive_631,3.341,5.012,1.671,5.489,7.16,4.535,4.057,5.251,3.288,4.933,1.645,5.638,0.303,0.286,0.263,0.255,0.776,0.107,0.301,0.315,0.368,0.329,0.303,0.286,0.368,0.251,0.232,0.239,0.033,0.158,0.258,0.203,0.211,0.239,0.239,0.716,0.239,5.012,0.239,0.48,0.72,0.24,0.48,2.499,0.833,2.737,3.57,2.023,2.618,4.983,1
Negative_544,2.899,3.623,4.348,3.623,5.797,1.449,7.246,9.42,2.76,3.449,4.139,5.518,0.232,0.275,0.297,0.341,0.775,0.094,0.399,0.312,0.478,0.29,0.232,0.275,0.442,0.263,0.328,0.19,0.029,0.161,0.19,0.124,0.175,1.449,2.174,2.899,0.725,1.449,1.449,0.0,0.0,0.0,0.0,1.832,2.199,1.832,2.932,3.665,4.764,4.759,0
Negative_307,0.0,2.92,7.299,0.73,2.92,2.19,16.058,13.869,0.0,2.584,6.459,1.938,0.212,0.182,0.387,0.38,0.847,0.051,0.467,0.197,0.569,0.219,0.212,0.182,0.489,0.11,0.272,0.184,0.015,0.074,0.096,0.088,0.096,5.109,4.38,4.38,0.73,2.19,5.839,0.0,0.0,0.0,2.94,1.537,3.841,0.384,1.537,8.451,7.299,4.726,0
Positive_254,4.177,2.948,2.703,6.88,3.686,5.897,5.16,8.354,2.084,1.471,1.349,2.084,0.27,0.206,0.324,0.236,0.86,0.071,0.31,0.231,0.366,0.364,0.27,0.206,0.393,0.158,0.266,0.286,0.01,0.118,0.187,0.163,0.145,0.737,0.983,0.983,0.246,0.491,0.737,0.0,0.25,0.0,0.49,1.636,1.5,3.818,2.046,2.864,4.636,4.456,1
Negative_179,1.66,5.809,3.32,2.075,2.905,1.66,6.639,8.299,1.674,5.859,3.348,8.37,0.187,0.29,0.282,0.311,0.776,0.141,0.369,0.32,0.461,0.353,0.187,0.29,0.411,0.271,0.237,0.237,0.013,0.237,0.225,0.1,0.2,2.49,0.83,0.83,0.415,5.809,2.49,0.0,0.42,0.0,0.83,3.089,1.766,1.104,1.545,3.531,4.414,5.473,0
Negative_280,2.0,5.0,1.5,2.0,1.5,4.5,7.0,5.0,1.687,4.218,1.265,5.905,0.22,0.31,0.215,0.245,0.77,0.12,0.305,0.345,0.37,0.41,0.22,0.31,0.345,0.261,0.171,0.241,0.04,0.171,0.201,0.191,0.181,1.0,1.0,1.0,0.5,8.0,1.0,0.0,0.0,0.0,0.5,2.466,0.74,0.986,0.74,3.452,2.466,5.358,0
Positive_602,5.707,6.203,0.496,6.203,6.452,5.211,3.226,6.203,6.868,7.465,0.597,4.777,0.253,0.308,0.231,0.3,0.792,0.102,0.323,0.325,0.39,0.357,0.253,0.308,0.367,0.306,0.239,0.214,0.035,0.164,0.236,0.177,0.206,0.496,0.993,0.744,0.248,7.444,0.496,0.0,0.0,0.75,0.0,3.137,0.251,3.137,3.263,1.631,3.137,5.146,1
Negative_1014,5.012,4.057,9.069,2.387,5.967,3.819,6.205,7.876,4.313,3.491,7.805,5.956,0.241,0.325,0.272,0.282,0.773,0.11,0.322,0.348,0.453,0.305,0.241,0.325,0.375,0.251,0.222,0.249,0.022,0.156,0.232,0.134,0.199,0.716,0.716,1.432,0.239,5.728,0.716,0.24,0.0,0.48,0.48,2.153,4.812,1.267,3.166,3.292,4.179,5.333,0
Negative_485,5.289,3.802,2.81,2.314,5.124,4.793,5.62,7.934,3.183,2.288,1.691,3.283,0.279,0.354,0.256,0.288,0.76,0.093,0.306,0.38,0.372,0.349,0.279,0.354,0.355,0.248,0.212,0.222,0.026,0.136,0.237,0.209,0.189,0.496,0.331,0.992,0.165,1.653,0.496,0.17,0.0,0.0,0.5,1.901,1.405,1.157,2.562,2.81,3.967,5.075,0
Negative_888,6.818,1.136,1.136,6.818,10.227,1.136,14.773,5.682,3.797,0.633,0.633,5.696,0.205,0.386,0.273,0.352,0.739,0.114,0.375,0.386,0.398,0.398,0.205,0.386,0.386,0.31,0.195,0.149,0.023,0.138,0.253,0.115,0.241,2.273,9.091,9.091,1.136,42.045,2.273,0.0,0.0,0.0,0.0,0.613,0.613,3.679,5.519,7.972,3.066,4.506,0
Negative_228,5.806,1.935,1.29,1.935,5.161,4.516,7.742,8.387,2.438,0.813,0.542,2.168,0.271,0.31,0.271,0.284,0.8,0.071,0.297,0.329,0.329,0.4,0.271,0.31,0.342,0.221,0.24,0.201,0.039,0.104,0.214,0.221,0.188,1.29,2.581,3.871,0.645,1.29,1.29,0.0,0.0,0.0,1.3,1.018,0.679,1.018,2.715,4.073,4.412,4.295,0
Negative_461,0.306,5.505,3.67,3.058,3.058,2.446,6.422,8.257,0.398,7.159,4.772,4.375,0.208,0.257,0.245,0.287,0.813,0.089,0.373,0.284,0.465,0.327,0.208,0.257,0.407,0.279,0.233,0.255,0.009,0.15,0.202,0.135,0.172,1.223,0.917,0.612,0.306,3.364,3.976,0.0,0.61,0.0,0.31,2.746,1.831,1.526,1.526,3.204,4.119,4.482,0
Positive_447,3.911,5.028,1.676,4.655,6.145,3.724,4.655,5.587,4.183,5.378,1.793,8.166,0.268,0.324,0.264,0.281,0.756,0.127,0.317,0.346,0.384,0.348,0.268,0.324,0.387,0.287,0.237,0.256,0.039,0.177,0.246,0.183,0.194,0.559,0.372,0.559,0.186,1.49,0.745,0.0,0.19,0.0,0.37,2.467,0.822,2.284,3.015,2.284,2.741,5.321,1
Negative_1091,3.333,4.286,4.286,4.762,3.81,3.333,6.19,4.286,2.757,3.545,3.545,7.484,0.262,0.314,0.267,0.238,0.743,0.133,0.343,0.329,0.429,0.31,0.262,0.314,0.405,0.306,0.191,0.273,0.033,0.215,0.244,0.158,0.196,1.429,1.429,1.429,0.476,20.476,1.905,0.48,0.96,0.48,0.48,2.108,2.108,2.342,1.874,3.044,2.108,5.24,0
Positive_649,2.859,4.743,3.184,3.834,5.263,2.924,6.433,7.212,2.249,3.73,2.504,7.206,0.23,0.339,0.247,0.263,0.748,0.139,0.296,0.365,0.375,0.395,0.23,0.339,0.345,0.302,0.205,0.23,0.036,0.199,0.261,0.177,0.225,0.13,0.26,0.325,0.065,0.13,0.13,0.2,0.46,0.07,0.72,2.425,1.628,1.96,2.691,3.289,3.688,4.883,1
Negative_292,1.48,4.44,2.537,3.066,4.757,3.805,5.285,8.774,1.26,3.779,2.159,6.928,0.227,0.326,0.244,0.272,0.748,0.126,0.337,0.348,0.407,0.366,0.227,0.326,0.376,0.297,0.21,0.219,0.031,0.183,0.253,0.166,0.22,0.317,0.317,0.317,0.106,1.268,0.317,0.32,0.32,0.11,0.74,2.215,1.266,1.529,2.373,2.636,4.377,5.135,0
Positive_276,3.593,5.389,4.192,5.09,5.689,3.293,2.994,7.485,3.531,5.296,4.12,9.121,0.266,0.344,0.246,0.243,0.728,0.147,0.26,0.368,0.356,0.377,0.266,0.344,0.314,0.309,0.207,0.258,0.033,0.213,0.318,0.189,0.276,1.497,0.599,0.898,0.299,2.096,1.497,0.0,0.3,0.0,0.3,2.661,2.07,2.513,2.809,1.478,3.696,5.308,1
Positive_154,5.035,4.23,3.323,5.237,5.337,5.841,4.33,9.063,4.544,3.818,2.999,6.998,0.256,0.308,0.272,0.281,0.784,0.12,0.292,0.329,0.368,0.377,0.256,0.308,0.354,0.255,0.229,0.251,0.02,0.183,0.24,0.189,0.201,0.201,0.302,1.511,0.101,0.705,0.403,0.2,0.0,0.2,0.3,2.203,1.731,2.728,2.78,2.255,4.721,4.711,1
Negative_804,2.857,5.143,2.857,5.714,2.286,4.571,9.143,4.571,2.226,4.007,2.226,4.898,0.223,0.263,0.263,0.269,0.8,0.114,0.337,0.291,0.417,0.36,0.223,0.263,0.383,0.23,0.213,0.253,0.04,0.178,0.218,0.172,0.178,2.286,1.143,3.429,0.571,4.0,2.286,0.0,0.57,0.0,0.0,2.678,1.488,2.975,1.19,4.761,2.38,5.166,0
Positive_760,4.971,4.386,1.754,5.263,4.678,3.216,4.971,4.094,6.511,5.745,2.297,8.808,0.213,0.313,0.211,0.266,0.801,0.111,0.307,0.345,0.368,0.418,0.213,0.313,0.368,0.311,0.194,0.276,0.015,0.173,0.273,0.185,0.223,0.585,1.462,2.339,0.292,4.094,0.585,0.0,0.0,0.59,0.0,2.239,0.895,2.687,2.388,2.538,2.09,4.773,1
Positive_457,6.218,4.535,3.219,5.34,5.048,3.438,5.925,7.096,5.335,3.891,2.762,7.092,0.25,0.325,0.272,0.304,0.763,0.128,0.3,0.342,0.377,0.372,0.25,0.325,0.363,0.253,0.23,0.232,0.029,0.201,0.239,0.198,0.19,0.732,0.293,0.805,0.073,2.268,0.951,0.51,0.29,0.29,0.51,2.3,1.632,2.708,2.56,3.005,3.599,4.825,1
Negative_313,2.917,5.833,5.417,3.75,3.75,5.417,4.167,5.833,2.973,5.946,5.522,4.672,0.267,0.279,0.271,0.25,0.804,0.104,0.287,0.325,0.4,0.333,0.267,0.279,0.383,0.264,0.264,0.28,0.017,0.151,0.268,0.155,0.188,1.667,2.083,1.25,0.417,1.667,1.667,0.84,0.0,0.42,0.42,3.025,2.81,1.945,1.945,2.161,3.025,4.818,0
Positive_780,8.067,4.729,0.0,4.868,4.868,2.364,4.729,9.597,8.27,4.848,0.0,4.99,0.218,0.314,0.335,0.332,0.825,0.096,0.371,0.327,0.419,0.363,0.218,0.314,0.451,0.202,0.202,0.198,0.017,0.145,0.187,0.15,0.141,0.278,0.834,0.695,0.139,6.12,0.278,0.28,0.42,0.28,0.56,2.559,0.0,2.634,2.634,2.559,5.193,4.962,1
Positive_437,4.054,4.505,0.0,7.207,7.658,5.405,6.306,3.153,4.494,4.994,0.0,8.49,0.279,0.342,0.225,0.23,0.752,0.122,0.23,0.369,0.275,0.446,0.279,0.342,0.293,0.308,0.19,0.271,0.032,0.167,0.299,0.244,0.253,2.252,0.901,4.054,0.45,7.658,3.153,0.0,0.45,0.9,0.0,2.259,0.0,3.614,3.84,3.162,1.581,5.208,1
Negative_339,7.843,2.941,6.863,5.882,7.843,0.98,4.902,12.745,6.405,2.402,5.605,4.003,0.255,0.314,0.343,0.324,0.804,0.078,0.294,0.333,0.392,0.353,0.255,0.314,0.363,0.208,0.238,0.307,0.03,0.109,0.238,0.257,0.168,2.941,2.941,2.941,0.98,34.314,2.941,0.0,0.99,0.0,0.0,1.608,3.753,3.217,4.289,2.681,6.97,4.361,0
Negative_337,3.54,5.31,7.08,6.195,8.85,2.655,4.425,9.735,3.097,4.646,6.194,5.42,0.301,0.327,0.354,0.274,0.726,0.115,0.345,0.372,0.469,0.23,0.301,0.327,0.416,0.241,0.205,0.232,0.045,0.17,0.223,0.152,0.205,2.655,2.655,4.425,0.885,11.504,2.655,0.0,0.0,0.0,0.0,2.662,3.55,3.106,4.437,2.218,4.881,4.733,0
Negative_1005,3.478,2.826,2.174,7.283,3.696,4.891,6.196,8.587,1.573,1.278,0.983,1.868,0.225,0.191,0.299,0.283,0.865,0.07,0.367,0.21,0.417,0.358,0.225,0.191,0.424,0.144,0.309,0.225,0.022,0.102,0.147,0.163,0.113,0.435,0.978,1.957,0.109,0.326,0.978,0.0,0.87,0.11,0.33,1.58,1.216,4.073,2.067,3.465,4.802,4.3,0
Negative_1291,2.966,4.661,2.542,3.249,3.672,2.966,7.768,9.605,3.104,4.878,2.66,7.538,0.186,0.28,0.295,0.316,0.802,0.119,0.38,0.312,0.452,0.362,0.186,0.28,0.435,0.25,0.252,0.202,0.013,0.188,0.205,0.147,0.168,1.13,0.282,0.424,0.141,1.13,1.13,0.14,0.14,0.0,0.57,2.517,1.373,1.755,1.983,4.195,5.187,4.655,0
Positive_788,5.219,6.151,1.678,5.499,7.083,4.753,3.728,6.524,4.401,5.186,1.415,5.343,0.281,0.327,0.269,0.272,0.753,0.125,0.267,0.348,0.345,0.375,0.281,0.327,0.335,0.269,0.223,0.252,0.029,0.199,0.265,0.204,0.222,0.373,0.373,0.28,0.093,0.652,0.373,0.65,0.56,0.28,0.09,3.112,0.849,2.782,3.584,1.886,3.301,4.9,1
Negative_169,6.0,1.333,3.333,3.333,7.333,4.0,4.667,10.667,3.816,0.848,2.12,1.272,0.28,0.26,0.26,0.287,0.833,0.033,0.347,0.3,0.393,0.327,0.28,0.26,0.413,0.215,0.208,0.268,0.007,0.047,0.195,0.181,0.161,1.333,2.0,2.667,0.667,18.667,1.333,0.0,0.0,0.0,0.0,0.685,1.713,1.713,3.77,2.399,5.483,4.904,0
Negative_1166,5.217,2.609,6.087,4.348,5.217,4.348,9.565,4.348,2.809,1.405,3.277,5.618,0.148,0.304,0.183,0.287,0.791,0.13,0.339,0.304,0.426,0.426,0.148,0.304,0.348,0.272,0.228,0.211,0.018,0.193,0.211,0.14,0.211,1.739,2.609,3.478,0.87,22.609,1.739,0.0,0.88,0.0,0.0,1.461,3.408,2.434,2.921,5.355,2.434,4.905,0
Negative_1036,2.362,3.937,6.299,3.15,7.087,3.937,5.512,8.661,3.143,5.239,8.382,7.335,0.299,0.268,0.323,0.283,0.787,0.094,0.331,0.323,0.433,0.268,0.299,0.268,0.433,0.23,0.262,0.278,0.016,0.151,0.238,0.151,0.151,1.575,3.15,3.15,0.787,3.937,10.236,0.79,0.0,0.0,0.79,2.017,3.228,1.614,3.632,2.825,4.438,4.809,0
Negative_674,4.587,1.835,7.339,2.752,7.339,0.917,8.257,4.587,4.277,1.711,6.843,8.554,0.211,0.339,0.193,0.303,0.725,0.11,0.367,0.349,0.459,0.33,0.211,0.339,0.385,0.333,0.185,0.204,0.056,0.148,0.222,0.194,0.204,1.835,5.505,5.505,0.917,6.422,1.835,0.0,0.93,0.0,0.0,0.884,3.536,1.326,3.536,3.978,2.21,4.85,0
Positive_213,2.956,4.926,1.724,5.911,4.68,5.419,4.433,9.113,2.999,4.998,1.749,4.749,0.254,0.251,0.31,0.313,0.81,0.096,0.362,0.266,0.429,0.318,0.254,0.251,0.419,0.202,0.237,0.198,0.02,0.163,0.212,0.173,0.173,1.97,0.739,0.985,0.246,0.493,2.956,0.74,0.0,0.0,0.49,2.538,0.888,3.045,2.411,2.284,4.695,5.186,1
Positive_474,3.659,5.987,1.663,5.322,6.541,4.878,4.545,4.878,3.941,6.448,1.791,7.522,0.233,0.308,0.208,0.279,0.762,0.13,0.32,0.33,0.397,0.37,0.233,0.308,0.361,0.31,0.212,0.225,0.027,0.195,0.229,0.172,0.203,0.333,0.333,0.333,0.111,1.552,0.333,0.11,0.44,0.11,0.11,3.01,0.836,2.675,3.288,2.285,2.452,5.205,1
Positive_392,3.579,2.783,1.193,2.982,2.982,5.169,6.362,5.964,4.703,3.657,1.568,8.099,0.27,0.292,0.25,0.235,0.799,0.089,0.292,0.324,0.332,0.398,0.27,0.292,0.35,0.295,0.231,0.249,0.016,0.151,0.269,0.225,0.219,0.596,0.398,1.789,0.199,1.59,0.596,0.4,0.0,0.0,0.6,1.371,0.588,1.47,1.47,3.135,2.939,5.322,1
Negative_1161,3.571,3.571,7.143,5.357,7.143,5.357,1.786,7.143,3.232,3.232,6.464,0.0,0.411,0.357,0.232,0.268,0.768,0.036,0.214,0.411,0.321,0.268,0.411,0.357,0.321,0.291,0.218,0.255,0.018,0.036,0.291,0.218,0.255,7.143,3.571,12.5,1.786,87.5,7.143,1.82,0.0,0.0,0.0,1.585,3.171,2.378,3.171,0.793,3.171,6.218,0
Negative_517,0.933,4.51,2.177,3.421,4.821,3.577,9.02,7.465,0.804,3.885,1.875,7.501,0.221,0.309,0.281,0.28,0.756,0.132,0.33,0.334,0.397,0.383,0.221,0.309,0.375,0.269,0.249,0.241,0.017,0.195,0.235,0.167,0.199,0.311,0.622,0.622,0.156,0.311,0.311,0.0,0.16,0.0,0.31,2.305,1.113,1.748,2.464,4.61,3.815,5.045,0
Positive_163,3.118,6.235,1.679,4.556,4.077,3.357,5.516,5.276,2.775,5.55,1.494,6.19,0.264,0.329,0.237,0.285,0.727,0.132,0.314,0.355,0.393,0.343,0.264,0.329,0.367,0.284,0.207,0.219,0.048,0.188,0.25,0.2,0.219,0.959,0.48,1.199,0.24,8.393,1.918,0.48,0.0,0.72,0.48,2.943,0.793,2.151,1.925,2.604,2.491,5.552,1
Positive_1005,5.0,4.545,1.591,6.136,3.864,7.045,2.273,9.545,4.057,3.688,1.291,4.057,0.273,0.27,0.291,0.259,0.811,0.095,0.286,0.282,0.348,0.38,0.273,0.27,0.35,0.244,0.264,0.255,0.021,0.166,0.257,0.205,0.219,0.455,1.136,0.682,0.227,3.864,0.455,0.23,0.46,0.23,0.46,2.336,0.818,3.154,1.986,1.168,4.906,4.955,1
Negative_1222,1.698,3.396,1.887,1.132,1.698,2.075,6.792,5.849,1.433,2.866,1.592,5.095,0.181,0.277,0.209,0.262,0.808,0.094,0.377,0.3,0.43,0.389,0.181,0.277,0.413,0.272,0.204,0.195,0.019,0.147,0.189,0.144,0.159,0.377,0.377,0.755,0.189,4.906,0.377,0.38,0.19,0.0,0.19,1.708,0.949,0.569,0.854,3.416,2.942,5.12,0
